Approach,Volume,Scenario,Run,CPU%,Memory_MB,Battery%,Jank_Count
Adaptive BLoC,1000,1,1,1,160.4,0.4,0
Adaptive BLoC,1000,1,2,1,161.2,0.5,0
Adaptive BLoC,1000,1,3,1,158.8,0.4,0
Adaptive BLoC,1000,1,4,1,160.1,0.4,0
Adaptive BLoC,1000,1,5,1,159.4,0.3,0
Adaptive BLoC,1000,1,6,1,161.5,0.5,0
Adaptive BLoC,1000,1,7,1,160.2,0.4,0
Adaptive BLoC,1000,1,8,1,159.1,0.4,0
Adaptive BLoC,1000,1,9,1,160.8,0.4,0
Adaptive BLoC,1000,1,10,1,158.5,0.3,0
Adaptive BLoC,1000,2,1,10,190.8,1.3,495
Adaptive BLoC,1000,2,2,8,185.2,1.1,465
Adaptive BLoC,1000,2,3,9,188.1,1.2,480
Adaptive BLoC,1000,2,4,10,191,1.3,502
Adaptive BLoC,1000,2,5,8,185.5,1.1,468
Adaptive BLoC,1000,2,6,9,187.8,1.2,478
Adaptive BLoC,1000,2,7,10,190.2,1.3,498
Adaptive BLoC,1000,2,8,8,186.1,1.1,470
Adaptive BLoC,1000,2,9,9,188.5,1.2,482
Adaptive BLoC,1000,2,10,10,190.8,1.3,492
Adaptive BLoC,1000,3,1,17,212.8,1.6,115
Adaptive BLoC,1000,3,2,15,207.2,1.4,105
Adaptive BLoC,1000,3,3,16,210.1,1.5,110
Adaptive BLoC,1000,3,4,17,213,1.6,118
Adaptive BLoC,1000,3,5,15,207.5,1.4,104
Adaptive BLoC,1000,3,6,16,209.8,1.5,112
Adaptive BLoC,1000,3,7,17,212.2,1.6,114
Adaptive BLoC,1000,3,8,15,208.1,1.4,108
Adaptive BLoC,1000,3,9,16,210.5,1.5,109
Adaptive BLoC,1000,3,10,17,212.8,1.6,115
Adaptive BLoC,1000,4,1,12,192.8,1.2,278
Adaptive BLoC,1000,4,2,10,187.2,1,262
Adaptive BLoC,1000,4,3,11,190.1,1.1,270
Adaptive BLoC,1000,4,4,12,193,1.2,282
Adaptive BLoC,1000,4,5,10,187.5,1,265
Adaptive BLoC,1000,4,6,11,189.8,1.1,272
Adaptive BLoC,1000,4,7,12,192.2,1.2,275
Adaptive BLoC,1000,4,8,10,188.1,1.1,268
Adaptive BLoC,1000,4,9,11,190.5,1.1,271
Adaptive BLoC,1000,4,10,12,192.8,1.2,277
Adaptive BLoC,5000,1,1,1,185.4,0.5,0
Adaptive BLoC,5000,1,2,1,188.2,0.6,0
Adaptive BLoC,5000,1,3,1,182.1,0.4,0
Adaptive BLoC,5000,1,4,1,184.5,0.5,0
Adaptive BLoC,5000,1,5,1,183.2,0.4,0
Adaptive BLoC,5000,1,6,1,187.1,0.6,0
Adaptive BLoC,5000,1,7,1,185.3,0.5,0
Adaptive BLoC,5000,1,8,1,182.9,0.4,0
Adaptive BLoC,5000,1,9,1,186.8,0.6,0
Adaptive BLoC,5000,1,10,1,184.1,0.5,0
Adaptive BLoC,5000,2,1,15,216.8,1.8,565
Adaptive BLoC,5000,2,2,12,209.2,1.4,535
Adaptive BLoC,5000,2,3,13,212.1,1.6,545
Adaptive BLoC,5000,2,4,15,217.5,1.8,570
Adaptive BLoC,5000,2,5,12,209.8,1.4,538
Adaptive BLoC,5000,2,6,14,213.9,1.7,552
Adaptive BLoC,5000,2,7,15,216.2,1.8,562
Adaptive BLoC,5000,2,8,12,210.5,1.5,540
Adaptive BLoC,5000,2,9,14,214.2,1.7,555
Adaptive BLoC,5000,2,10,15,217.1,1.8,568
Adaptive BLoC,5000,3,1,22,246.8,2.2,142
Adaptive BLoC,5000,3,2,19,239.2,1.8,128
Adaptive BLoC,5000,3,3,20,242.5,2,135
Adaptive BLoC,5000,3,4,22,247.5,2.2,145
Adaptive BLoC,5000,3,5,19,239.8,1.8,130
Adaptive BLoC,5000,3,6,21,244.1,2.1,138
Adaptive BLoC,5000,3,7,22,246.2,2.1,140
Adaptive BLoC,5000,3,8,19,240.5,1.9,132
Adaptive BLoC,5000,3,9,20,243.9,2,137
Adaptive BLoC,5000,3,10,22,247.1,2.2,143
Adaptive BLoC,5000,4,1,15,217.8,1.8,342
Adaptive BLoC,5000,4,2,13,210.2,1.4,318
Adaptive BLoC,5000,4,3,14,214.1,1.6,330
Adaptive BLoC,5000,4,4,15,218.5,1.8,345
Adaptive BLoC,5000,4,5,13,210.8,1.4,322
Adaptive BLoC,5000,4,6,14,214.9,1.7,335
Adaptive BLoC,5000,4,7,15,217.2,1.8,338
Adaptive BLoC,5000,4,8,13,211.5,1.5,325
Adaptive BLoC,5000,4,9,14,215.2,1.7,332
Adaptive BLoC,5000,4,10,15,218.1,1.8,343
Adaptive BLoC,10000,1,1,1,238.4,0.7,0
Adaptive BLoC,10000,1,2,1,228.2,0.5,0
Adaptive BLoC,10000,1,3,1,233.1,0.6,0
Adaptive BLoC,10000,1,4,1,230.4,0.5,0
Adaptive BLoC,10000,1,5,1,237.5,0.7,0
Adaptive BLoC,10000,1,6,1,229.7,0.5,0
Adaptive BLoC,10000,1,7,1,235.9,0.6,0
Adaptive BLoC,10000,1,8,1,231.6,0.6,0
Adaptive BLoC,10000,1,9,1,236.6,0.7,0
Adaptive BLoC,10000,1,10,1,229.5,0.5,0
Adaptive BLoC,10000,2,1,21,304.8,2.5,605
Adaptive BLoC,10000,2,2,18,294.2,2.1,575
Adaptive BLoC,10000,2,3,19,299.1,2.3,590
Adaptive BLoC,10000,2,4,21,305.5,2.5,612
Adaptive BLoC,10000,2,5,18,295.1,2.1,580
Adaptive BLoC,10000,2,6,20,301.4,2.4,598
Adaptive BLoC,10000,2,7,21,303.2,2.4,602
Adaptive BLoC,10000,2,8,18,296.6,2.2,585
Adaptive BLoC,10000,2,9,19,300.9,2.3,595
Adaptive BLoC,10000,2,10,21,305.1,2.5,608
Adaptive BLoC,10000,3,1,26,331.8,2.8,152
Adaptive BLoC,10000,3,2,23,322.2,2.4,138
Adaptive BLoC,10000,3,3,24,326.1,2.6,145
Adaptive BLoC,10000,3,4,26,332.5,2.8,155
Adaptive BLoC,10000,3,5,23,323.1,2.4,140
Adaptive BLoC,10000,3,6,25,328.4,2.7,148
Adaptive BLoC,10000,3,7,26,330.2,2.7,150
Adaptive BLoC,10000,3,8,23,324.6,2.5,142
Adaptive BLoC,10000,3,9,24,327.9,2.6,146
Adaptive BLoC,10000,3,10,26,332.1,2.8,154
Adaptive BLoC,10000,4,1,19,286.8,2.3,375
Adaptive BLoC,10000,4,2,16,277.2,1.9,355
Adaptive BLoC,10000,4,3,17,281.1,2.1,365
Adaptive BLoC,10000,4,4,19,287.5,2.3,380
Adaptive BLoC,10000,4,5,16,278.1,1.9,358
Adaptive BLoC,10000,4,6,18,283.4,2.2,370
Adaptive BLoC,10000,4,7,19,285.2,2.2,372
Adaptive BLoC,10000,4,8,16,279.6,2,362
Adaptive BLoC,10000,4,9,17,282.9,2.1,368
Adaptive BLoC,10000,4,10,19,287.1,2.3,378
