Approach,Volume,Scenario,Run,CPU%,Memory_MB,Battery%,Jank_Count
BLoC,1000,1,1,1,158.4,0.5,0
BLoC,1000,1,2,1,161.2,0.6,0
BLoC,1000,1,3,1,157.1,0.4,0
BLoC,1000,1,4,1,159.5,0.5,0
BLoC,1000,1,5,1,158.2,0.4,0
BLoC,1000,1,6,1,162.1,0.6,0
BLoC,1000,1,7,1,160.3,0.5,0
BLoC,1000,1,8,1,157.9,0.4,0
BLoC,1000,1,9,1,161.8,0.6,0
BLoC,1000,1,10,1,159.1,0.5,0
BLoC,1000,2,1,11,191.8,1.5,552
BLoC,1000,2,2,9,184.2,1.1,508
BLoC,1000,2,3,10,188.5,1.3,530
BLoC,1000,2,4,11,192.2,1.5,555
BLoC,1000,2,5,9,184.9,1.1,512
BLoC,1000,2,6,10,189.1,1.3,535
BLoC,1000,2,7,11,191.2,1.4,550
BLoC,1000,2,8,9,185.6,1.2,518
BLoC,1000,2,9,10,188.9,1.3,532
BLoC,1000,2,10,11,191.9,1.5,554
BLoC,1000,3,1,18,214.8,1.9,130
BLoC,1000,3,2,16,206.2,1.5,110
BLoC,1000,3,3,17,210.5,1.7,122
BLoC,1000,3,4,18,215.4,1.9,132
BLoC,1000,3,5,16,206.9,1.5,112
BLoC,1000,3,6,17,211.2,1.7,125
BLoC,1000,3,7,18,214.2,1.8,128
BLoC,1000,3,8,16,207.5,1.6,115
BLoC,1000,3,9,17,210.9,1.7,120
BLoC,1000,3,10,18,215.1,1.9,131
BLoC,1000,4,1,13,194.8,1.6,315
BLoC,1000,4,2,11,187.2,1.2,275
BLoC,1000,4,3,12,191.5,1.4,295
BLoC,1000,4,4,13,195.6,1.6,318
BLoC,1000,4,5,11,187.9,1.2,280
BLoC,1000,4,6,12,192.4,1.4,300
BLoC,1000,4,7,13,194.2,1.5,312
BLoC,1000,4,8,11,188.5,1.3,285
BLoC,1000,4,9,12,191.9,1.4,298
BLoC,1000,4,10,13,195.3,1.6,317
BLoC,5000,1,1,1,182.4,0.7,0
BLoC,5000,1,2,1,186.2,0.8,0
BLoC,5000,1,3,1,180.1,0.6,0
BLoC,5000,1,4,1,183.5,0.7,0
BLoC,5000,1,5,1,181.8,0.6,0
BLoC,5000,1,6,1,185.9,0.8,0
BLoC,5000,1,7,1,184.3,0.7,0
BLoC,5000,1,8,1,181.4,0.6,0
BLoC,5000,1,9,1,185.2,0.8,0
BLoC,5000,1,10,1,182.9,0.7,0
BLoC,5000,2,1,16,218.8,2.1,645
BLoC,5000,2,2,14,210.2,1.6,580
BLoC,5000,2,3,15,214.5,1.8,615
BLoC,5000,2,4,16,219.2,2.1,650
BLoC,5000,2,5,14,210.9,1.7,585
BLoC,5000,2,6,15,215.1,1.9,620
BLoC,5000,2,7,16,218.2,2,642
BLoC,5000,2,8,14,211.5,1.7,592
BLoC,5000,2,9,15,215.9,1.9,625
BLoC,5000,2,10,16,218.9,2.1,648
BLoC,5000,3,1,23,248.8,2.5,155
BLoC,5000,3,2,21,239.2,2,135
BLoC,5000,3,3,22,244.5,2.2,148
BLoC,5000,3,4,23,249.5,2.5,158
BLoC,5000,3,5,21,239.9,2.1,138
BLoC,5000,3,6,22,245.2,2.3,150
BLoC,5000,3,7,23,248.1,2.4,153
BLoC,5000,3,8,21,240.5,2.1,140
BLoC,5000,3,9,22,245.9,2.3,151
BLoC,5000,3,10,23,249.2,2.5,157
BLoC,5000,4,1,16,218.8,2.2,385
BLoC,5000,4,2,14,210.2,1.7,345
BLoC,5000,4,3,15,214.5,1.9,368
BLoC,5000,4,4,16,219.2,2.2,390
BLoC,5000,4,5,14,210.9,1.8,350
BLoC,5000,4,6,15,215.1,2,372
BLoC,5000,4,7,16,218.2,2.1,382
BLoC,5000,4,8,14,211.5,1.8,355
BLoC,5000,4,9,15,215.9,2,375
BLoC,5000,4,10,16,218.9,2.2,388
BLoC,10000,1,1,1,242.4,0.9,0
BLoC,10000,1,2,1,230.2,0.6,0
BLoC,10000,1,3,1,235.1,0.7,0
BLoC,10000,1,4,1,232.4,0.6,0
BLoC,10000,1,5,1,241.5,0.9,0
BLoC,10000,1,6,1,231.7,0.6,0
BLoC,10000,1,7,1,237.9,0.8,0
BLoC,10000,1,8,1,233.6,0.7,0
BLoC,10000,1,9,1,240.6,0.9,0
BLoC,10000,1,10,1,231.5,0.6,0
BLoC,10000,2,1,22,308.8,2.7,685
BLoC,10000,2,2,20,292.2,2.1,612
BLoC,10000,2,3,21,300.5,2.4,655
BLoC,10000,2,4,22,309.4,2.7,688
