Approach,Volume,Scenario,Run,CPU%,Memory_MB,Battery%,Jank_Count
GetX,1000,1,1,1,148.2,0.4,0
GetX,1000,1,2,1,146.1,0.3,0
GetX,1000,1,3,1,149.8,0.4,0
GetX,1000,1,4,1,147.4,0.3,0
GetX,1000,1,5,1,145.7,0.3,0
GetX,1000,1,6,1,150.1,0.4,0
GetX,1000,1,7,1,148.6,0.3,0
GetX,1000,1,8,1,147.2,0.3,0
GetX,1000,1,9,1,149.4,0.4,0
GetX,1000,1,10,1,146.5,0.3,0
GetX,1000,2,1,7,173.8,0.9,335
GetX,1000,2,2,5,168.2,0.6,295
GetX,1000,2,3,6,171.1,0.8,315
GetX,1000,2,4,7,174.2,1,340
GetX,1000,2,5,5,168.5,0.6,298
GetX,1000,2,6,6,170.8,0.8,310
GetX,1000,2,7,7,173.2,0.9,332
GetX,1000,2,8,5,169.1,0.7,302
GetX,1000,2,9,6,171.5,0.8,318
GetX,1000,2,10,7,173.6,0.9,338
GetX,1000,3,1,14,193.8,1.3,88
GetX,1000,3,2,12,188.2,1,72
GetX,1000,3,3,13,191.1,1.1,81
GetX,1000,3,4,14,194,1.3,90
GetX,1000,3,5,12,188.5,1,74
GetX,1000,3,6,13,190.8,1.1,84
GetX,1000,3,7,14,193.2,1.2,86
GetX,1000,3,8,12,189.1,1.1,78
GetX,1000,3,9,13,191.5,1.2,83
GetX,1000,3,10,14,193.6,1.3,89
GetX,1000,4,1,8,172.7,1,225
GetX,1000,4,2,6,167.2,0.7,192
GetX,1000,4,3,7,170.1,0.8,210
GetX,1000,4,4,8,173,1,228
GetX,1000,4,5,6,167.5,0.7,195
GetX,1000,4,6,7,169.8,0.8,208
GetX,1000,4,7,8,172.2,0.9,222
GetX,1000,4,8,6,168.1,0.8,200
GetX,1000,4,9,7,170.5,0.9,215
GetX,1000,4,10,8,172.9,1,227
GetX,5000,1,1,1,169.8,0.4,0
GetX,5000,1,2,1,172.5,0.5,0
GetX,5000,1,3,1,166.4,0.3,0
GetX,5000,1,4,1,168.1,0.4,0
GetX,5000,1,5,1,171.2,0.5,0
GetX,5000,1,6,1,167.4,0.3,0
GetX,5000,1,7,1,170.8,0.4,0
GetX,5000,1,8,1,168.9,0.4,0
GetX,5000,1,9,1,172.2,0.5,0
GetX,5000,1,10,1,169.5,0.4,0
GetX,5000,2,1,11,195.8,1.4,425
GetX,5000,2,2,9,189.2,1.1,382
GetX,5000,2,3,10,192.1,1.3,405
GetX,5000,2,4,11,196,1.4,430
GetX,5000,2,5,9,189.5,1.1,388
GetX,5000,2,6,10,193.4,1.3,412
GetX,5000,2,7,11,195.2,1.4,422
GetX,5000,2,8,9,190.1,1.2,395
GetX,5000,2,9,10,193.9,1.3,418
GetX,5000,2,10,11,195.6,1.4,428
GetX,5000,3,1,16,221.8,1.8,95
GetX,5000,3,2,14,215.2,1.4,82
GetX,5000,3,3,15,218.1,1.6,88
GetX,5000,3,4,16,222,1.8,98
GetX,5000,3,5,14,215.5,1.5,84
GetX,5000,3,6,15,219.4,1.7,86
GetX,5000,3,7,16,221.2,1.7,94
GetX,5000,3,8,14,216.1,1.5,85
GetX,5000,3,9,15,219.9,1.7,90
GetX,5000,3,10,16,221.6,1.8,96
GetX,5000,4,1,10,194.8,1.5,245
GetX,5000,4,2,8,188.2,1.2,212
GetX,5000,4,3,9,191.1,1.3,231
GetX,5000,4,4,10,195,1.5,248
GetX,5000,4,5,8,188.5,1.2,215
GetX,5000,4,6,9,192.4,1.4,238
GetX,5000,4,7,10,194.2,1.4,242
GetX,5000,4,8,8,189.1,1.3,220
GetX,5000,4,9,9,192.9,1.4,235
GetX,5000,4,10,10,194.6,1.5,247
GetX,10000,1,1,1,218.4,0.5,0
GetX,10000,1,2,1,212.2,0.4,0
GetX,10000,1,3,1,215.1,0.4,0
GetX,10000,1,4,1,213.1,0.4,0
GetX,10000,1,5,1,217.2,0.5,0
GetX,10000,1,6,1,212.7,0.4,0
GetX,10000,1,7,1,216.9,0.5,0
GetX,10000,1,8,1,214.6,0.4,0
GetX,10000,1,9,1,217.6,0.5,0
GetX,10000,1,10,1,213.5,0.4,0
GetX,10000,2,1,15,270.8,1.8,412
GetX,10000,2,2,13,262.2,1.4,365
GetX,10000,2,3,14,266.1,1.6,388
GetX,10000,2,4,15,271,1.8,415
GetX,10000,2,5,13,262.5,1.4,370
GetX,10000,2,6,14,267.4,1.7,395
GetX,10000,2,7,15,270.2,1.7,410
GetX,10000,2,8,13,263.1,1.5,375
GetX,10000,2,9,14,268.9,1.7,402
GetX,10000,2,10,15,270.6,1.8,414
GetX,10000,3,1,19,295.8,2.2,98
GetX,10000,3,2,17,287.1,1.8,82
GetX,10000,3,3,18,291.5,2,90
GetX,10000,3,4,19,296,2.2,100
GetX,10000,3,5,17,287.5,1.8,84
GetX,10000,3,6,18,292.4,2.1,92
GetX,10000,3,7,19,295.2,2.1,96
GetX,10000,3,8,17,288.1,1.9,88
GetX,10000,3,9,18,292.9,2,94
GetX,10000,3,10,19,295.6,2.2,99
GetX,10000,4,1,13,248.8,1.9,258
GetX,10000,4,2,11,241.2,1.5,222
GetX,10000,4,3,12,245.1,1.7,241
GetX,10000,4,4,13,249,1.9,260
GetX,10000,4,5,11,241.5,1.5,225
GetX,10000,4,6,12,246.4,1.8,248
GetX,10000,4,7,13,248.2,1.8,255
GetX,10000,4,8,11,242.1,1.6,230
GetX,10000,4,9,12,246.9,1.7,245
GetX,10000,4,10,13,248.6,1.9,257
