Approach,Volume,Scenario,Run,CPU%,Memory_MB,Battery%,Jank_Count
MobX,1000,1,1,1,152.1,0.4,0
MobX,1000,1,2,1,154.5,0.5,0
MobX,1000,1,3,1,150.9,0.3,0
MobX,1000,1,4,1,153.3,0.4,0
MobX,1000,1,5,1,151.7,0.3,0
MobX,1000,1,6,1,154.8,0.5,0
MobX,1000,1,7,1,152.6,0.4,0
MobX,1000,1,8,1,151.4,0.3,0
MobX,1000,1,9,1,153.9,0.5,0
MobX,1000,1,10,1,152,0.4,0
MobX,1000,2,1,9,182.8,1.2,488
MobX,1000,2,2,7,176.4,0.8,422
MobX,1000,2,3,8,179.5,1,455
MobX,1000,2,4,9,183,1.2,490
MobX,1000,2,5,7,176.8,0.8,425
MobX,1000,2,6,8,180.1,1.1,460
MobX,1000,2,7,9,182.2,1.2,485
MobX,1000,2,8,7,177.5,0.9,432
MobX,1000,2,9,8,179.9,1,458
MobX,1000,2,10,9,182.6,1.2,487
MobX,1000,3,1,16,202.8,1.6,110
MobX,1000,3,2,14,195.9,1.2,86
MobX,1000,3,3,15,199.1,1.4,98
MobX,1000,3,4,16,203,1.6,109
MobX,1000,3,5,14,196.2,1.2,88
MobX,1000,3,6,15,199.8,1.4,102
MobX,1000,3,7,16,202.2,1.5,108
MobX,1000,3,8,14,197.1,1.3,92
MobX,1000,3,9,15,199.4,1.4,105
MobX,1000,3,10,16,202.7,1.6,110
MobX,1000,4,1,10,181.8,1.3,258
MobX,1000,4,2,8,175.9,0.9,222
MobX,1000,4,3,9,178.5,1.1,240
MobX,1000,4,4,10,182,1.3,260
MobX,1000,4,5,8,176.5,0.9,225
MobX,1000,4,6,9,179.2,1.1,245
MobX,1000,4,7,10,181.2,1.2,255
MobX,1000,4,8,8,177.1,1,230
MobX,1000,4,9,9,179.8,1.1,248
MobX,1000,4,10,10,181.9,1.3,259
MobX,5000,1,1,1,175.9,0.6,0
MobX,5000,1,2,1,178.6,0.5,0
MobX,5000,1,3,1,172.5,0.4,0
MobX,5000,1,4,1,174.1,0.5,0
MobX,5000,1,5,1,177.2,0.6,0
MobX,5000,1,6,1,173.4,0.4,0
MobX,5000,1,7,1,176.8,0.6,0
MobX,5000,1,8,1,174.9,0.5,0
MobX,5000,1,9,1,178.2,0.6,0
MobX,5000,1,10,1,175.5,0.5,0
MobX,5000,2,1,14,206.5,1.8,578
MobX,5000,2,2,12,199.2,1.3,515
MobX,5000,2,3,13,202.1,1.5,542
MobX,5000,2,4,14,206.8,1.8,580
MobX,5000,2,5,12,199.5,1.4,520
MobX,5000,2,6,13,203.4,1.6,550
MobX,5000,2,7,14,206.2,1.7,575
MobX,5000,2,8,12,200.1,1.4,525
MobX,5000,2,9,13,203.9,1.6,555
MobX,5000,2,10,14,206.4,1.8,577
MobX,5000,3,1,20,233.8,2.2,120
MobX,5000,3,2,18,226.1,1.8,102
MobX,5000,3,3,19,229.5,2,110
MobX,5000,3,4,20,234,2.2,119
MobX,5000,3,5,18,226.5,1.8,104
MobX,5000,3,6,19,230.4,2.1,112
MobX,5000,3,7,20,233.2,2.1,118
MobX,5000,3,8,18,227.1,1.9,106
MobX,5000,3,9,19,230.9,2,111
MobX,5000,3,10,20,233.6,2.2,120
MobX,5000,4,1,13,205.8,1.9,298
MobX,5000,4,2,11,198.2,1.5,262
MobX,5000,4,3,12,201.5,1.7,280
MobX,5000,4,4,13,206,1.9,300
MobX,5000,4,5,11,198.5,1.6,265
MobX,5000,4,6,12,202.4,1.7,285
MobX,5000,4,7,13,205.2,1.8,295
MobX,5000,4,8,11,199.1,1.6,270
MobX,5000,4,9,12,202.9,1.7,288
MobX,5000,4,10,13,205.6,1.9,297
MobX,10000,1,1,1,231.4,0.7,0
MobX,10000,1,2,1,218.8,0.4,0
MobX,10000,1,3,1,224.1,0.5,0
MobX,10000,1,4,1,221.2,0.4,0
MobX,10000,1,5,1,230.5,0.7,0
MobX,10000,1,6,1,219.7,0.4,0
MobX,10000,1,7,1,227.9,0.6,0
MobX,10000,1,8,1,222.6,0.5,0
MobX,10000,1,9,1,229.6,0.7,0
MobX,10000,1,10,1,220.5,0.4,0
MobX,10000,2,1,19,289.8,2.3,518
MobX,10000,2,2,17,275.5,1.8,442
MobX,10000,2,3,18,281.2,2.1,480
MobX,10000,2,4,19,290,2.3,520
MobX,10000,2,5,17,276.1,1.8,448
MobX,10000,2,6,18,282.4,2.1,488
MobX,10000,2,7,19,288.2,2.2,512
MobX,10000,2,8,17,277.1,1.9,455
MobX,10000,2,9,18,283.9,2.1,495
MobX,10000,2,10,19,289.6,2.3,517
MobX,10000,3,1,24,312.8,2.8,125
MobX,10000,3,2,22,298.5,2.3,106
MobX,10000,3,3,23,305.1,2.6,115
MobX,10000,3,4,24,313,2.8,124
MobX,10000,3,5,22,299.1,2.3,108
MobX,10000,3,6,23,306.4,2.6,118
MobX,10000,3,7,24,311.2,2.7,122
MobX,10000,3,8,22,300.1,2.4,110
MobX,10000,3,9,23,307.9,2.6,120
MobX,10000,3,10,24,312.6,2.8,123
MobX,10000,4,1,17,266.8,2.4,318
MobX,10000,4,2,15,252.5,1.9,272
MobX,10000,4,3,16,258.1,2.2,295
MobX,10000,4,4,17,267,2.4,320
MobX,10000,4,5,15,253.1,1.9,278
MobX,10000,4,6,16,259.4,2.2,302
MobX,10000,4,7,17,265.2,2.3,315
MobX,10000,4,8,15,254.1,2,282
MobX,10000,4,9,16,260.9,2.2,308
MobX,10000,4,10,17,266.6,2.4,317
