Approach,Volume,Scenario,Run,CPU%,Memory_MB,Battery%,Jank_Count
Provider,1000,1,1,1,155.2,0.5,0
Provider,1000,1,2,1,153.1,0.4,0
Provider,1000,1,3,1,156.8,0.6,0
Provider,1000,1,4,1,154.4,0.4,0
Provider,1000,1,5,1,152.7,0.3,0
Provider,1000,1,6,1,157.1,0.6,0
Provider,1000,1,7,1,155.6,0.5,0
Provider,1000,1,8,1,154.2,0.4,0
Provider,1000,1,9,1,156.4,0.6,0
Provider,1000,1,10,1,153.5,0.4,0
Provider,1000,2,1,10,185.8,1.3,585
Provider,1000,2,2,8,178.4,0.9,515
Provider,1000,2,3,9,182.1,1.1,550
Provider,1000,2,4,10,186.2,1.3,590
Provider,1000,2,5,8,179.2,1,520
Provider,1000,2,6,9,183.4,1.2,560
Provider,1000,2,7,10,185.5,1.3,582
Provider,1000,2,8,8,179.9,1,525
Provider,1000,2,9,9,182.8,1.1,555
Provider,1000,2,10,10,186,1.3,588
Provider,1000,3,1,16,205.8,1.7,135
Provider,1000,3,2,14,198.2,1.3,115
Provider,1000,3,3,15,201.5,1.5,125
Provider,1000,3,4,16,206.5,1.7,138
Provider,1000,3,5,14,198.9,1.3,118
Provider,1000,3,6,15,202.4,1.5,128
Provider,1000,3,7,16,205.2,1.6,134
Provider,1000,3,8,14,199.5,1.4,120
Provider,1000,3,9,15,202,1.5,126
Provider,1000,3,10,16,206.2,1.7,137
Provider,1000,4,1,11,184.8,1.4,285
Provider,1000,4,2,9,178.2,1,245
Provider,1000,4,3,10,181.5,1.2,265
Provider,1000,4,4,11,185.5,1.4,290
Provider,1000,4,5,9,178.9,1.1,250
Provider,1000,4,6,10,182.4,1.3,270
Provider,1000,4,7,11,184.2,1.4,282
Provider,1000,4,8,9,179.5,1.1,255
Provider,1000,4,9,10,182,1.2,275
Provider,1000,4,10,11,185.2,1.4,288
Provider,5000,1,1,1,178.9,0.6,0
Provider,5000,1,2,1,181.6,0.7,0
Provider,5000,1,3,1,175.5,0.5,0
Provider,5000,1,4,1,177.1,0.5,0
Provider,5000,1,5,1,180.2,0.7,0
Provider,5000,1,6,1,176.4,0.5,0
Provider,5000,1,7,1,179.8,0.6,0
Provider,5000,1,8,1,177.9,0.5,0
Provider,5000,1,9,1,181.2,0.7,0
Provider,5000,1,10,1,178.5,0.6,0
Provider,5000,2,1,15,209.5,1.9,678
Provider,5000,2,2,13,202.2,1.4,615
Provider,5000,2,3,14,205.1,1.6,642
Provider,5000,2,4,15,209.8,1.9,680
Provider,5000,2,5,13,202.5,1.5,620
Provider,5000,2,6,14,206.4,1.7,650
Provider,5000,2,7,15,209.2,1.8,675
Provider,5000,2,8,13,203.1,1.5,625
Provider,5000,2,9,14,206.9,1.7,655
Provider,5000,2,10,15,209.4,1.9,677
Provider,5000,3,1,21,236.8,2.3,145
Provider,5000,3,2,19,229.1,1.9,126
Provider,5000,3,3,20,232.5,2.1,135
Provider,5000,3,4,21,237,2.3,144
Provider,5000,3,5,19,229.5,1.9,128
Provider,5000,3,6,20,233.4,2.2,138
Provider,5000,3,7,21,236.2,2.2,142
Provider,5000,3,8,19,230.1,2,130
Provider,5000,3,9,20,233.9,2.1,140
Provider,5000,3,10,21,236.6,2.3,143
Provider,5000,4,1,14,208.8,2,338
Provider,5000,4,2,12,201.2,1.6,302
Provider,5000,4,3,13,204.5,1.8,320
Provider,5000,4,4,14,209,2,340
Provider,5000,4,5,12,201.5,1.7,305
Provider,5000,4,6,13,205.4,1.8,325
Provider,5000,4,7,14,208.2,1.9,335
Provider,5000,4,8,12,202.1,1.7,310
Provider,5000,4,9,13,205.9,1.8,328
Provider,5000,4,10,14,208.6,2,337
Provider,10000,1,1,1,235.4,0.8,0
Provider,10000,1,2,1,222.8,0.5,0
Provider,10000,1,3,1,228.1,0.6,0
Provider,10000,1,4,1,225.2,0.5,0
Provider,10000,1,5,1,234.5,0.8,0
Provider,10000,1,6,1,223.7,0.5,0
Provider,10000,1,7,1,231.9,0.7,0
Provider,10000,1,8,1,226.6,0.6,0
Provider,10000,1,9,1,233.6,0.8,0
Provider,10000,1,10,1,224.5,0.5,0
Provider,10000,2,1,20,295.8,2.4,718
Provider,10000,2,2,18,281.5,1.9,642
Provider,10000,2,3,19,287.2,2.2,680
Provider,10000,2,4,20,296,2.4,720
Provider,10000,2,5,18,282.1,1.9,648
Provider,10000,2,6,19,288.4,2.2,688
Provider,10000,2,7,20,294.2,2.3,712
Provider,10000,2,8,18,283.1,2,655
Provider,10000,2,9,19,289.9,2.2,695
Provider,10000,2,10,20,295.6,2.4,717
Provider,10000,3,1,25,320.8,2.9,150
Provider,10000,3,2,23,306.5,2.4,126
Provider,10000,3,3,24,313.1,2.7,138
Provider,10000,3,4,25,321,2.9,149
Provider,10000,3,5,23,307.1,2.4,128
Provider,10000,3,6,24,314.4,2.7,142
Provider,10000,3,7,25,319.2,2.8,148
Provider,10000,3,8,23,308.1,2.5,132
Provider,10000,3,9,24,315.9,2.7,145
Provider,10000,3,10,25,320.6,2.9,150
Provider,10000,4,1,18,272.8,2.5,358
Provider,10000,4,2,16,258.5,2,312
Provider,10000,4,3,17,264.1,2.3,335
Provider,10000,4,4,18,273,2.5,360
Provider,10000,4,5,16,259.1,2,318
Provider,10000,4,6,17,265.4,2.3,342
Provider,10000,4,7,18,271.2,2.4,355
Provider,10000,4,8,16,260.1,2.1,322
Provider,10000,4,9,17,266.9,2.3,348
Provider,10000,4,10,18,272.6,2.5,357
