Approach,Volume,Scenario,Run,CPU%,Memory_MB,Battery%,Jank_Count
Riverpod,1000,1,1,1,151.8,0.5,0
Riverpod,1000,1,2,1,148.2,0.3,0
Riverpod,1000,1,3,1,150.4,0.4,0
Riverpod,1000,1,4,1,149.1,0.3,0
Riverpod,1000,1,5,1,151.2,0.5,0
Riverpod,1000,1,6,1,148.7,0.3,0
Riverpod,1000,1,7,1,150.9,0.4,0
Riverpod,1000,1,8,1,149.6,0.4,0
Riverpod,1000,1,9,1,151.6,0.5,0
Riverpod,1000,1,10,1,148.5,0.3,0
Riverpod,1000,2,1,8,179.8,1.1,448
Riverpod,1000,2,2,6,174.2,0.7,382
Riverpod,1000,2,3,7,177.1,0.9,415
Riverpod,1000,2,4,8,180,1.1,450
Riverpod,1000,2,5,6,174.5,0.7,385
Riverpod,1000,2,6,7,176.8,0.8,410
Riverpod,1000,2,7,8,179.2,1,442
Riverpod,1000,2,8,6,175.1,0.8,390
Riverpod,1000,2,9,7,177.5,0.9,420
Riverpod,1000,2,10,8,179.6,1.1,445
Riverpod,1000,3,1,15,198.8,1.5,104
Riverpod,1000,3,2,13,193.2,1.1,82
Riverpod,1000,3,3,14,195.7,1.3,95
Riverpod,1000,3,4,15,199,1.5,105
Riverpod,1000,3,5,13,193.5,1.1,84
Riverpod,1000,3,6,14,196.4,1.2,98
Riverpod,1000,3,7,15,198.2,1.4,102
Riverpod,1000,3,8,13,194.1,1.2,88
Riverpod,1000,3,9,14,196.9,1.3,100
Riverpod,1000,3,10,15,198.6,1.5,103
Riverpod,1000,4,1,9,178.7,1.2,238
Riverpod,1000,4,2,7,173.2,0.8,202
Riverpod,1000,4,3,8,176.1,1,221
Riverpod,1000,4,4,9,179,1.2,240
Riverpod,1000,4,5,7,173.5,0.8,205
Riverpod,1000,4,6,8,175.8,0.9,218
Riverpod,1000,4,7,9,178.2,1.1,235
Riverpod,1000,4,8,7,174.1,0.9,210
Riverpod,1000,4,9,8,176.6,1,225
Riverpod,1000,4,10,9,178.9,1.2,237
Riverpod,5000,1,1,1,175.8,0.6,0
Riverpod,5000,1,2,1,170.2,0.4,0
Riverpod,5000,1,3,1,173.4,0.5,0
Riverpod,5000,1,4,1,171.1,0.4,0
Riverpod,5000,1,5,1,175.2,0.6,0
Riverpod,5000,1,6,1,170.7,0.4,0
Riverpod,5000,1,7,1,174.3,0.5,0
Riverpod,5000,1,8,1,172.6,0.4,0
Riverpod,5000,1,9,1,175.6,0.6,0
Riverpod,5000,1,10,1,171.5,0.4,0
Riverpod,5000,2,1,13,201.8,1.7,538
Riverpod,5000,2,2,11,195.2,1.2,462
Riverpod,5000,2,3,12,198.1,1.4,505
Riverpod,5000,2,4,13,202,1.7,540
Riverpod,5000,2,5,11,195.5,1.3,468
Riverpod,5000,2,6,12,199.4,1.5,512
Riverpod,5000,2,7,13,201.2,1.6,535
Riverpod,5000,2,8,11,196.1,1.3,475
Riverpod,5000,2,9,12,199.9,1.5,520
Riverpod,5000,2,10,13,201.6,1.7,537
Riverpod,5000,3,1,18,228.8,2.1,110
Riverpod,5000,3,2,16,222.2,1.6,90
Riverpod,5000,3,3,17,225.1,1.8,102
Riverpod,5000,3,4,18,229,2.1,108
Riverpod,5000,3,5,16,222.5,1.7,92
Riverpod,5000,3,6,17,226.4,1.9,98
Riverpod,5000,3,7,18,228.2,2,107
Riverpod,5000,3,8,16,223.1,1.7,95
Riverpod,5000,3,9,17,226.9,1.9,101
Riverpod,5000,3,10,18,228.6,2.1,109
Riverpod,5000,4,1,11,201.8,1.8,278
Riverpod,5000,4,2,9,195.2,1.3,242
Riverpod,5000,4,3,10,198.1,1.5,261
Riverpod,5000,4,4,11,202,1.8,280
Riverpod,5000,4,5,9,195.5,1.4,245
Riverpod,5000,4,6,10,199.4,1.6,268
Riverpod,5000,4,7,11,201.2,1.7,275
Riverpod,5000,4,8,9,196.1,1.4,250
